taxa,lifeform,PhotoGram,lifespan
Scleria_triglomerata,Graminoid,Sedge,Perennial
Andropogon_gyrans,Graminoid,C4,Perennial
Andropogon_virginicus,Graminoid,C4,Perennial
Aristida_stricta,Graminoid,C4,Perennial
Dichanthelium_acuminatum,Graminoid,C3,Perennial
Dichanthelium_commutatum,Graminoid,C3,Perennial
Dichanthelium_laxiflorum,Graminoid,C3,Perennial
Dichanthelium_scoparium,Graminoid,C3,Perennial
Schizachyrium_scoparium_scoparium,Graminoid,C4,Perennial
Toxicodendron_pubescens,Herb,,Perennial
Carphephorus_bellidifolius,Herb,,Perennial
Chrysopsis_mariana,Herb,,Perennial
Cirsium_repandum,Herb,,Perennial
Coreopsis_major_rigida,Herb,,Perennial
Eupatorium_compostifolium,Herb,,Perennial
Eupatorium_leucolepis,Herb,,Perennial
Eupatorium_rotundifolium_rotundifolium,Herb,,Perennial
Ionactis_linariifolia,Herb,,Perennial
Liatris_cokeri,Herb,,Perennial
Parthenium_integrifolium_mabryanum,Herb,,Perennial
Pityopsis_aspera,Herb,,Perennial
Sericocarpus_asteroides,Herb,,Perennial
Sericocarpus_tortifolius,Herb,,Perennial
Solidago_odora,Herb,,Perennial
Symphyotrichum_dumosum_dumosum,Herb,,Perennial
Symphyotrichum_walteri,Herb,,Perennial
Erechtites_hieraciifolius,Herb,,Annual
Hypericum_gentianoides,Herb,,Annual
Pteridium_aquilinum,Herb,,Perennial
Cnidoscolus_urens_stimulosus,Herb,,Perennial
Euphorbia_spp,Herb,,Perennial
Gentiana_autumnalis,Herb,,Perennial
Iris_verna_verna,Herb,,Perennial
Hypoxis_wrightii,Herb,,Perennial
Rhexia_alifanus,Herb,,Perennial
Spiranthes_tuberosa,Herb,,Perennial
Seymeria_cassioides,Herb,,Annual
Chamaecrista_nictitans,Legume,,Annual
Desmodium_ciliare,Legume,,Perennial
Desmodium_rotundifolium,Legume,,Perennial
Galactia_erecta,Legume,,Perennial
Galactia_regularis,Legume,,Perennial
Lespedeza_angustifolia,Legume,,Perennial
Lespedeza_hirta,Legume,,Perennial
Lespedeza_repens,Legume,,Perennial
Robinia_hispida_nana,Legume,,Perennial
Stylosanthes_biflora,Legume,,Perennial
Tephrosia_virginiana,Legume,,Perennial
Rhus_copallinum,Shrub,,Perennial
Diospyros_virginiana,Shrub,,Perennial
Lyonia_mariana,Shrub,,Pernennial
Vaccinium_tenellum,Shrub,,Perennial
Quercus_incana,Shrub,,Perennial
Quercus_laevis,Shrub,,Perennial
Quercus_marilandica,Shrub,,Perennial
Sassafras_albidum,Shrub,,Perennial
Morella_cerifera_pumila,Shrub,,Perennial
Prunus_spp,Shrub,,Perennial
Quercus_margarettae,Tree,,Perennial
Pinus_palustris,Tree,,Perennial
Pinus_taeda,Tree,,Perennial
Smilax_glauca,Vine,,Perennial
Vitis_rotundifolia,Vine,,Perennial
